URL FOR CHECKING,Company,Descriptions,3 Yrs Growth,Industry,State,City,Year Founded,Website
https://www.inc.com/profile/endium?listid=495,Incendium,"Growth studio and consultancy specializing in go-to-market strategy, campaign management and strategic advisory for technology and services companies.Profile",738%,Advertising & Marketing,DC,Washington,,
https://www.inc.com/profile/tite-home?listid=495,Tite Home,"Helps clients produce their own electricity, making their homes more comfortable and reducing electric bills.Profile",734%,Energy,AZ,Tempe,,
https://www.inc.com/profile/nemean-solutions?listid=495,Nemean Solutions,"Native Hawaiian-owned, veteran-operated company providing advanced military intelligence, cybersecurity, special operations forces' exercise and training and military capabilities.Profile",734%,Government Services,AZ,Sierra Vista,,
https://www.inc.com/profile/insight-pest-solutions-wa?listid=495,Insight Pest Solutions WA,"Pest control, extermination and insulation company using quality training and effective products to serve customers in the Pacific Northwest.Profile",733%,Consumer Services,OR,Portland,,
https://www.inc.com/profile/servicecore?listid=495,ServiceCore,"Waste management software making portable toilet, septic or roll-off businesses more efficient by optimizing routes, billing, jobs, time and inventory.Profile",732%,Software,CO,Lakewood,,
https://www.inc.com/profile/abstrax-tech?listid=495,Abstrax Tech,"Pioneering botanical flavor tech and offering terpene-driven solutions for cannabis, hops and CPG brands.Profile",732%,Food & Beverage,CA,Tustin,,
https://www.inc.com/profile/the-bakery-cowork?listid=495,The Bakery Cowork,"Revolutionary coworking space featuring a photography studio, event venue, private offices and café, facilitating productivity, networking and business growth.Profile",731%,Business Products & Services,GA,Atlanta,,
https://www.inc.com/profile/sticky-brand?listid=495,Sticky Brand,A custom sticker company offering high-quality custom stickers delivered through an easy-to-use online ordering system.Profile,729%,Business Products & Services,VT,"South Burlington, Suite 200",,
https://www.inc.com/profile/hashtag-applications?listid=495,Fox Ordering,"Software company helping restaurants provide their consumers with fast, high quality direct online ordering experience.Profile",729%,Software,FL,Boca Raton,,
https://www.inc.com/profile/specialty1-partners?listid=495,Specialty1 Partners,"A doctor-led provider of specialty surgical dental services, with a multi-site, multi-service and scalable platform.Profile",728%,Health Services,TX,Houston,,
https://www.inc.com/profile/national-express-wash-parent-intermediate-holdco?listid=495,El Car Wash,Premier express car wash company with 34 locations in Florida and the official car wash of the Miami Heat.Profile,728%,Retail,FL,Doral,,
https://www.inc.com/profile/webranding-global?listid=495,WeBranding Global,"Agency and consulting network providing full-range marketing and branding services, global business insights from industry leaders and multiscale operation strategy.Profile",727%,Advertising & Marketing,NY,New York,,
https://www.inc.com/profile/shield-ai?listid=495,Shield AI,"Designs, develops and builds AI products for the U.S. national security sector and first responders. The company's product development is guided by its mission: to protect service members and civilians with artificially intelligent systems.Profile",727%,Government Services,CA,SAN DIEGO,,
https://www.inc.com/profile/jr-software-solutions?listid=495,JR Software Solutions,"An IT consulting service provider specializing in cloud-based professional staffing, project management and enterprise solution architecture.Profile",727%,IT Services,GA,Norcross,,
https://www.inc.com/profile/wellfit-technologies?listid=495,Wellfit Technologies,"Health care fintech platform making patient financing, dental plans and payment processes simple, transparent and cost-effective for providers and patients.Profile",726%,Software,TX,IRVING,,
https://www.inc.com/profile/lindahl-reed?listid=495,Lindahl Reed,"A consulting company that provides program management, engineering and technical and management advisory services to federal, state and commercial customers.Profile",726%,Business Products & Services,OR,Bend,,
https://www.inc.com/profile/sunbit?listid=495,Sunbit,"Financial services provider allowing people flexible ways to pay through a next-generation, no-fee credit card and point-of-sale payment opportunities.Profile",726%,Financial Services,CA,Los Angeles,,
https://www.inc.com/profile/select-date-society?listid=495,Select Date Society,High-end matchmaking firm representing elite singles throughout the U.S. and setting them up to succeed.Profile,725%,Consumer Services,PR,Humacao,,
https://www.inc.com/profile/catalyst-integrators?listid=495,Catalyst Integrators,A team of fractional integrators supporting business owners to ensure organizational success.Profile,725%,Business Products & Services,AZ,Cave Creek,,
https://www.inc.com/profile/lmr-technical-group?listid=495,LMR Technical Group,"Provides human performance optimization, warfighter training and more to support DoD and Federal customers.Profile",724%,Government Services,TX,Dallas,,
https://www.inc.com/profile/valentine-cpa-a-professional-oration?listid=495,Valentine CPA,"Certified public accounting firm specializing in small business needs by offering payroll services, bookkeeping, tax planning and tax preparation.Profile",723%,Business Products & Services,UT,Layton,,
https://www.inc.com/profile/together-womens-health?listid=495,Together Women's Health,Network of integrated women?s health care providers combining medicine and infrastructure to improve care across women?s health?centered practices.Profile,721%,Health Services,MI,Grosse Pointe,,
https://www.inc.com/profile/first-due?listid=495,First Due,SaaS software platform running core operations for fire and emergency management services across the U.S. and Canada.Profile,720%,Software,NY,Garden City,,
https://www.inc.com/profile/wonderfold?listid=495,WONDERFOLD,"Designs innovative, child-centered stroller wagons to foster family togetherness while exploring the world.Profile",719%,Consumer Products,CA,Irwindale,,
https://www.inc.com/profile/palladin-technologies?listid=495,Palladin Technologies,"A Salesforce and MuleSoft consulting partner, specializing in integration services to improve overall business efficiency.Profile",719%,Business Products & Services,GA,Atlanta,,
https://www.inc.com/profile/miyo-health?listid=495,MIYO Health,Empowering organizations in mental health and special education with technology and flexible staffing solutions.Profile,717%,Education,IL,Westmont,,
https://www.inc.com/profile/Precision-HealthCare-Consultants?listid=495,Precision HealthCare Consultants,Organization helping to ensure marginalized populations around the globe receive access to quality care to be healthy and safe.Profile,716%,Government Services,NY,Baldwin,,
https://www.inc.com/profile/Establish-PR?listid=495,Establish,Helping early-stage startups secure investment by focusing on the key pillars investors look for.Profile,715%,Business Products & Services,PR,San Juan,,
https://www.inc.com/profile/finboa?listid=495,FINBOA,"Provides payment dispute process automation software for banks and credit unions, improving compliance and efficiency.Profile",714%,Software,TX,Houston,,
https://www.inc.com/profile/momentum-digital?listid=495,Momentum Digital,"A dynamic force in the digital marketing landscape, empowering small businesses with tailored strategies that fuel growth and visibility.Profile",713%,Advertising & Marketing,PA,Philadelphia,,
https://www.inc.com/profile/empify?listid=495,Empify,"Democratizing investing education for all communities, breaking generational curses and promoting financial ease.Profile",712%,Financial Services,GA,Atlanta,,
https://www.inc.com/profile/unity-meals?listid=495,Unity Meals,Provides fresh and healthy meals to K-12 schools in Southern California.Profile,712%,Food & Beverage,CA,Vernon,,
https://www.inc.com/profile/maximus-supply-chain-holdings?listid=495,Maximus Supply Chain Holdings,"Full-service solutions provider developing innovative, comprehensive, and compelling solutions to assist customers in taking control of the supply chain.Profile",712%,Manufacturing,IN,Lafayette,,
https://www.inc.com/profile/ascendex-consulting?listid=495,Ascendex Consulting,"Provides middle-market businesses with global, on-demand technology talent, strategy and solutions.Profile",712%,Business Products & Services,MN,Edina,,
https://www.inc.com/profile/flavorcloud?listid=495,FlavorCloud,"A global logistics platform offering low-cost international shipping services, including automating customs clearance and global trade compliance.Profile",711%,Logistics & Transportation,WA,Seattle,,
https://www.inc.com/profile/crepes-a-latte?listid=495,Crepes a Latte,Creates hospitality experiences that drive traffic and keep attendees engaged through sensory experiences.Profile,711%,Travel & Hospitality,IL,Vernon Hills,,
https://www.inc.com/profile/nola-dmc?listid=495,NOLA DMC,"Full-service destination management company specializing in the design and implementation of events, activities, tours, transportation and program logistics.Profile",708%,Travel & Hospitality,LA,New Orleans,,
https://www.inc.com/profile/evolvehr?listid=495,EvolveHR,"Supports companies? HR needs through technology, fractional people support and pooled benefits plans.Profile",708%,Human Resources,IL,Chicago,,
https://www.inc.com/profile/honeylove?listid=495,Honeylove,A functional intimates brand creating size-inclusive products packed with features and innovation.Profile,707%,Consumer Products,CA,Los Angeles,,
https://www.inc.com/profile/victory-building-services?listid=495,Victory Building Services,A commercial building services management company offering services such as commercial cleaning and floor maintenance.Profile,707%,Business Products & Services,MN,Minneapolis,,
https://www.inc.com/profile/arm5-formula?listid=495,ARM5 Formula,"An e-commerce aggregator that buys, manages, scales and sells e-commerce companies.Profile",707%,Advertising & Marketing,AZ,Chandler,,
https://www.inc.com/profile/next-level-steel?listid=495,Next Level Steel,"Serving clients across the southwestern United States, with state-of-the-art castellated steel beam technology.Profile",707%,Manufacturing,AZ,Mesa,,
https://www.inc.com/profile/aes-direct-express?listid=495,SKU Distribution,"A company that picks, packs, ships and finds storage for customers that prefer not to do it in-house.Profile",707%,Logistics & Transportation,AZ,Chandler,,
https://www.inc.com/profile/vicai?listid=495,Vic.ai,"Building fully autonomous AI systems that make finance and accounting teams more efficient, accurate and intelligent by handling time-consuming activities.Profile",705%,Software,NY,New York,,
https://www.inc.com/profile/SwipeSum?listid=495,Swipesum,Merchant services experts specializing in finding the best credit card processing solutions to minimize fees associated with accepting payments.Profile,704%,Business Products & Services,MO,Clayton,,
https://www.inc.com/profile/outliant?listid=495,Outliant,"A software agency dedicated to driving growth, with a focus on design, development and growth.Profile",703%,Software,TX,AUSTIN,,
https://www.inc.com/profile/jt-logistics?listid=495,JT Logistics,"Logistics company providing clients with comprehensive storage and transportation services, offering a trucking fleet of both refrigerated and dry vans.Profile",702%,Logistics & Transportation,IA,Des Moines,,
https://www.inc.com/profile/big-money-retirement-solutions?listid=495,Big Money Retirement Solutions,Fiduciary firm providing personalized financial planning services designed to help manage and safeguard wealth.Profile,701%,Financial Services,SC,Greenville,,
https://www.inc.com/profile/marc-brown-law-firm?listid=495,Marc Brown Law Firm,Personal injury and workers' compensation law firm serving injury clients across South Carolina and Georgia.Profile,701%,Legal,SC,Columbia,,
https://www.inc.com/profile/acliviti?listid=495,ACLIVITI,"Contact center solutions provider offering support, expertise and strategies to upgrade technology, explore opportunities and achieve business objectives.Profile",701%,Telecommunications,IL,Chicago,,
https://www.inc.com/profile/developersnet?listid=495,Developers.Net,Helping companies find software developers so they can focus on completing projects on time and under budget.Profile,700%,Human Resources,TX,Austin,,
https://www.inc.com/profile/opkalla?listid=495,Opkalla,"IT company that custom designs, implements and supports customer solutions for all levels of complexity.Profile",699%,IT Services,NC,Charlotte,,
https://www.inc.com/profile/integrated-management-strategies?listid=495,Integrated Management Strategies,Technical consulting company offering personalized strategies and support to health care businesses. Profile,699%,Business Products & Services,VA,Vienna,,
https://www.inc.com/profile/anthromed?listid=495,AnthroMed Education,"Specialized provider of speech-language pathology, social work, counseling and occupational therapy to K-12 schools and their students.Profile",699%,Education,IL,Chicago,,
https://www.inc.com/profile/betablox?listid=495,BetaBlox,Business incubator and accelerator operating a series of programs for early-stage entrepreneurs.Profile,697%,Business Products & Services,KS,Overland Park,,
https://www.inc.com/profile/jeanne-foley?listid=495,SuitShop,"Offering affordable, inclusive suiting for men, women, nonbinary folks and kids for weddings, formal wear and everyday outfitting.Profile",696%,Retail,CO,Denver,,
https://www.inc.com/profile/msr-communities--and-affiliates?listid=495,MSR Communities,Luxury home builder creating homes rich in features and attentive to detail ? something future homeowners can be proud of.Profile,696%,Construction,WA,Bothell,,
https://www.inc.com/profile/dataseers?listid=495,DataSeers,"Company offering the first omni-channel solution for banks and fintech companies to help with onboarding, reconciliation, compliance, fraud and operations.Profile",696%,Software,GA,Alpharetta,,
https://www.inc.com/profile/dedrone?listid=495,Dedrone,Leader in airspace security protecting from the threat of unauthorized drones and enabling productive drones to safely complete their missions.Profile,695%,Security,VA,Sterling,,
https://www.inc.com/profile/elk-analytics?listid=495,ELK Analytics,"Managed security service provider protecting endpoints, networks, applications, cloud and data from threats, risks, attacks and more.Profile",695%,IT Services,FL,Naples,,
https://www.inc.com/profile/norwood?listid=495,Norwood,A health care staffing and consulting company specializing in mid-revenue cycle management.Profile,694%,Human Resources,TX,Austin,,
https://www.inc.com/profile/imbserv?listid=495,IMBServ,"Integrated maintenance and bus services providing passenger transportation on motorcoaches, buses, shuttles, vans and sedans.Profile",693%,Logistics & Transportation,VA,Locust Grove,,
https://www.inc.com/profile/smoothstack?listid=495,Smoothstack,IT service provider with a unique ability to create emerging talent through its hire-train-deploy (HTD) approach.Profile,691%,IT Services,VA,McLean,,
https://www.inc.com/profile/rarebreed-veterinary-partners?listid=495,Rarebreed Veterinary Partners,"Partners with veterinary hospitals to help with IT, HR, talent acquisition, accounting, marketing and more.Profile",690%,Health Services,ME,Portland,,
https://www.inc.com/profile/bros-roofing?listid=495,Bros Roofing,Colorado roofing company providing quality services with honest prices and satisfaction guaranteed.Profile,690%,Construction,CO,Grand Junction,,
https://www.inc.com/profile/netfly?listid=495,NETFLY,Provides advertising and operational consulting services to clients such as law firms and others.Profile,688%,Advertising & Marketing,CA,Eastvale,,
https://inc.com/magazine/202309/graham-winfrey/sportsgrid-how-sports-betting-tv-for-fanduel-and-betmgm-generates-20-million-a-year-for-this-new-jersey-startup.html,SportsGrid,"Ad-supported streaming network providing the latest in sports betting with original programming, analysis and insights.Profile",688%,Media,NJ,Holmdel,,
https://www.inc.com/profile/MO-Studio?listid=495,MO,Company helping government and corporate clients design intuitive and sustainable experiences for their customers.Profile,687%,Government Services,AZ,Scottsdale,,
https://www.inc.com/profile/brocotec?listid=495,BroCoTec,"Managed IT solution provider focusing on cybersecurity, network monitoring, help desk support, cloud services and compliance for SMBs.Profile",687%,IT Services,TX,Houston,,
https://www.inc.com/profile/tfl?listid=495,TFL,Leading live event ticket and technology company partnering with rights-holders to maximize attendance and revenue.Profile,686%,Software,KS,Overland Park,,
https://www.inc.com/profile/black-kite?listid=495,Black Kite,Comprehensive cyber-risk intelligence platform making it simple for businesses to noninvasively quantify and monitor cyber-risk across thousands of third parties.Profile,685%,Security,MA,Boston,,
https://www.inc.com/profile/rind-snacks?listid=495,RIND Snacks,"Naturally packed snacks with more fiber and vitamins, helping eliminate more than one million pounds of food waste annually.Profile",685%,Food & Beverage,NY,New York,,
https://www.inc.com/profile/fox-logistics?listid=495,Fox Logistics,"A third-party logistics company providing ground, air and ocean services to small and mid-size businesses.Profile",685%,Logistics & Transportation,FL,Starke,,
https://www.inc.com/profile/triquetra?listid=495,Triquetra,Premium natural health supplements that are nature based and scientifically optimized.Profile,682%,Consumer Products,FL,Lithia,,
https://www.inc.com/profile/minneapolis-cider-company?listid=495,Minneapolis Cider Company,Midwest cider company operating the largest cider taproom in the nation and the purveyor of Minnesota?s first THC-infused beverage brand.Profile,682%,Food & Beverage,MN,Minneapolis,,
https://www.inc.com/profile/coherent-bus-company?listid=495,Coherent Bus Company,Twin Cities transportation service invested in the futures of the students it travels with.Profile,682%,Logistics & Transportation,MN,Bloomington,,
https://www.inc.com/profile/all-county-apparel?listid=495,All-County Apparel,Fastest-growing custom apparel decorators in the USA bringing a modern twist to a long-standing industry.Profile,681%,Manufacturing,NJ,Lodi,,
https://www.inc.com/profile/intouch-med-supply?listid=495,InTouch Med Supply,"A supplier of urologic, ostomy and wound care products for both adult and pediatric populations.Profile",680%,Health Products,PA,King Of Prussia,,
https://www.inc.com/profile/laurel?listid=495,Laurel,"Offering real AI solutions for legal and accounting sectors, reducing time spent on administrative tasks with automated timekeeping and billing.Profile",679%,Software,CA,San Francisco,,
https://www.inc.com/profile/hydrohelp911-crawl-space-and-foundation-repair?listid=495,HydroHelp911 Crawl Space and Foundation Repair,"Family-owned and operated foundation repair, crawl space repair and basement waterproofing company just outside of Charlotte, North Carolina.Profile",678%,Construction,NC,Iron Station,,
https://www.inc.com/profile/ultraview-archery?listid=495,ULTRAVIEW Archery,"Develops high quality, purposefully designed archery equipment intended to improve the overall customer experience.Profile",677%,Consumer Products,GA,Norcross,,
https://www.inc.com/profile/smb-team?listid=495,SMB Team,"Digital marketing, management and coaching firm focusing on helping clients grow by providing more leads, sales and effective management.Profile",677%,Business Products & Services,PA,Bala Cynwyd,,
https://www.inc.com/profile/ten-little?listid=495,Ten Little,"Expert-recommended healthy products for children, from APMA-approved vegan shoes to nontoxic play and home essentials.Profile",676%,Consumer Products,NY,New York,,
https://www.inc.com/profile/copper-river-infrastructure-services?listid=495,Copper River Infrastructure Services,"Alaska native, tribally owned company offering construction and facilities management capabilities to modernize critical building systems.Profile",676%,Construction,VA,Chantilly,,
https://www.inc.com/profile/elite-roofing?listid=495,Elite Roofing,A roofing contractor based in Texas with over 10 years in the roofing industry and Master Elite® Contractor status.Profile,675%,Construction,TX,Houston,,
https://inc.com/magazine/202212/inc-staff/high-performing-ceos-founders-best-practices-building-growing-running-business.html,LinkSquares,"Providing legal technology that surfaces business intelligence with accuracy and scale for in-house teams, centralizing legal collaboration and streamlining workloads.Profile",675%,Software,MA,Boston,,
https://www.inc.com/profile/riser-fitness?listid=495,Riser Fitness,"One of the largest, longest-running operators of Club Pilates studios in the world.Profile",673%,Health Services,CA,"Covina, CA",,
https://www.inc.com/profile/traveluxe?listid=495,Traveluxe,"Stress-free travel planning for busy families and couples, continuously recognized as a top producer by suppliers.Profile",673%,Travel & Hospitality,IL,Chicago,,
https://www.inc.com/profile/conexon?listid=495,Conexon,Works with rural electric membership cooperatives to conduct analysis and training to bring fiber to homes in rural communities.Profile,672%,Telecommunications,MO,Kansas City,,
https://www.inc.com/profile/trust--will?listid=495,Trust & Will,Leading digital estate planning and settlement platform designed to help families maintain their legacy.Profile,670%,Financial Services,CA,West Hollywood,,
https://www.inc.com/profile/red-group?listid=495,RED Group,"Provides engineering services, specializing in control systems, electrical engineering, and system integration.Profile",670%,Engineering,LA,Metairie,,
https://www.inc.com/profile/law-offices-of-stephen-a-smith?listid=495,Law Offices of Stephen A. Smith,A personal injury law firm fighting for car and truck accident victims' compensation and recovery.Profile,669%,Consumer Services,FL,Jacksonville,,
https://www.inc.com/profile/vivid-commerce?listid=495,Vivid Commerce,Specializes in helping brands maximize growth on Amazon by providing data driven software and consulting services.Profile,669%,Advertising & Marketing,CA,Sausalito,,
https://www.inc.com/profile/sphere-rocket-va?listid=495,Sphere Rocket VA,It provides virtual workforce staffing solutions for small business owners and entrepreneurs.Profile,668%,Human Resources,TN,Nashville,,
https://www.inc.com/profile/PayBright?listid=495,PayBright,"A merchant services provider that works with independent agents, banks and other strategic partners to provide payment solutions to businesses.Profile",668%,Business Products & Services,NC,Raleigh,,
https://www.inc.com/profile/ideology-health?listid=495,IDEOlogy Health,Non-promotional medical education channels helping community oncologists stay current on the rapidly evolving treatment landscape to deliver world-class care.Profile,667%,Health Services,TX,Austin,,
https://www.inc.com/profile/pro-restoration?listid=495,Pro Restoration,"Providing exterior restoration services and specializing in roofing, siding and metal workProfile",667%,Construction,IL,Machesney Park,,
https://www.inc.com/profile/dreamday?listid=495,Dreamday,For leading the skincare industry in sustainability and growing organically while reducing advertising costs.Profile,665%,Consumer Products,CA,Beverly Hills,,
https://www.inc.com/profile/extraordinary-journeys?listid=495,Extraordinary Journeys,"Delivers highly-specialized luxury travel services, organizing custom safaris to Africa.Profile",665%,Travel & Hospitality,DC,Washington,,
https://www.inc.com/profile/coterie-media?listid=495,Coterie Media,"Integrated marketing communications agency amplifying brands, drives engagement and delivers data-driven results across the entire media ecosystem.Profile",664%,Advertising & Marketing,TX,Austin,,
https://www.inc.com/profile/secure-investment-management?listid=495,Secure Investment Management,Holistic financial planning firm focusing on conservative planning for retirees and pre-retirees who need income planning for the long haul.Profile,664%,Financial Services,AZ,Tucson,,
https://www.inc.com/profile/propagate?listid=495,Propagate,Regenerative agriculture platform making it easy for farmland owners to increase cash yield of farmland.Profile,664%,Business Products & Services,CO,Boulder,,
https://www.inc.com/profile/infocus-clinical-research?listid=495,InFocus Clinical Research,Full-service contract research organization and the premier clinical development partner for pharmaceutical and biotechnology companies.Profile,662%,Health Services,TN,Brentwood,,
https://www.inc.com/profile/rainwatercpa?listid=495,RainwaterCPA,Boutique tax planning and compliance firm helping U.S. business owners have certainty and clarity concerning their taxes.Profile,662%,Business Products & Services,MD,Bel Air,,
https://www.inc.com/profile/midwest-veterinary-partners?listid=495,Mission Veterinary Partners,A veterinary services organization providing care for millions of pets across the country.Profile,662%,Health Services,MI,Southfield,,
https://www.inc.com/profile/instalend?listid=495,InstaLend Corporation,A tech-enabled real estate loan lender providing fast and affordable capital to residential developers through streamlined technology and automated workflow.Profile,662%,Financial Services,NY,New York,,
https://www.inc.com/profile/modern-health?listid=495,Modern Health,"Comprehensive global mental health solution offering employees access to one-on-one therapy and coaching, group support and self-serve digital resources.Profile",661%,Health Services,CA,San Francisco,,
https://www.inc.com/profile/scrub-daddy?listid=495,Scrub Daddy,"Maker of high-performance cleaning products combining exclusive materials with fun, functional designs: texture-changing scrubbers, smell-resistant sponges and scratch-free scour pads.Profile",660%,Consumer Products,NJ,Pennsauken,,
https://www.inc.com/profile/northern-real-estate-urban-ventures?listid=495,Northern Real Estate Urban Ventures,Community development organization using a holistic approach to real-estate in low-income communities by creating economic empowerment opportunities.Profile,659%,Real Estate,DC,Washington,,
https://www.inc.com/profile/nurturing-angels-home-care?listid=495,Nurturing Angels Home Care,Home care provider offering non-medical services such as personal care and medication administration to residents in Maryland and Delaware.Profile,658%,Health Services,DE,Greenville,,
https://www.inc.com/profile/marginedge?listid=495,MarginEdge,"Restaurant management platform to streamline back-office tasks with real-time finances, invoice processing, bill payment, inventory, recipe and ordering management.Profile",656%,Software,VA,Arlington,,
https://www.inc.com/profile/zenith-prep-academy?listid=495,Zenith Prep Academy,Specializes in providing a college consulting program that helps students gain acceptance into the universities they deserve.Profile,655%,Education,CA,Newark,,
https://www.inc.com/profile/element78-partners?listid=495,E78 Partners,"Supports middle-market CFO, CIO and private equity firms and their portfolio companies.Profile",655%,Financial Services,IL,Oak Brook,,
https://www.inc.com/profile/MOCA-Logistics?listid=495,MOCA Logistics,A 3PL services provider working closely with the biggest e-commerce company in the world to deliver on large-scale warehouse projects.Profile,654%,Logistics & Transportation,TN,Chattanooga,,
https://www.inc.com/profile/goldschmitt-and-associates?listid=495,Goldschmitt and Associates,"A technology firm specializing in computer programming and systems design, management consulting and more.Profile",652%,IT Services,VA,Leesburg,,
https://www.inc.com/profile/polygonio?listid=495,Polygon.io,"Developer of a real-time financial data platform that displays stocks, forex and cryptocurrency data, enabling clients to build APIs efficiently.Profile",652%,Software,GA,Atlanta,,
https://www.inc.com/profile/levitate?listid=495,Levitate,A platform utilizing AI to help relationship-based businesses keep in touch with clients at scale.Profile,652%,Software,NC,Raleigh,,
https://www.inc.com/profile/twentytwo--brand?listid=495,twentytwo & brand,Client-first agency empowering over 70 renewable energy brands across the clean energy value chain with full-service marketing expertise.Profile,651%,Advertising & Marketing,FL,Gotha,,
https://www.inc.com/profile/wild-oak-boutique?listid=495,Wild Oak Boutique,"Online clothing store selling women's clothing, shoes and accessories.Profile",651%,Retail,SD,Sioux Falls,,
https://www.inc.com/profile/objectivehealth?listid=495,ObjectiveHealth,Integrated research provider partnering with physicians and health care organizations to establish an advanced infrastructure for research programs.Profile,650%,Health Services,TN,Franklin,,
https://www.inc.com/profile/sei-new-york?listid=495,SEI-New York,A business and technology consulting firm committed to consistent delivery and collaborative partnerships.Profile,650%,Business Products & Services,NY,New York,,
https://www.inc.com/profile/dog-training-elite-franchising?listid=495,Dog Training Elite,Innovative dog training method that sets us apart and elevates our trainers to a higher standard of training.Profile,650%,Consumer Services,UT,Sandy,,
https://www.inc.com/profile/arbo?listid=495,ARBO,"Forward-thinking consultancy firm specializing in providing innovative growth solutions in business strategy, technology integration and sustainability practices.Profile",649%,Business Products & Services,DE,Middletown,,
https://www.inc.com/profile/summit-energy-ma?listid=495,Summit Energy,Focused on empowering our residential and commercial customers with a transition to producing their own clean and efficient solar energy.Profile,648%,Energy,MA,Mansfield,,
https://www.inc.com/profile/delaware-limo?listid=495,Delaware Limo,A limousine provider offering black car and limousine services nationwide through a network of partners.Profile,648%,Logistics & Transportation,DE,Wilmington,,
https://www.inc.com/profile/eclat-solutions?listid=495,Eclat Solutions,"Services and application development company providing cost-effective, efficient solutions for organizations by leveraging the latest technologies with innovative service models.Profile",647%,Business Products & Services,TX,Lakeway,,
https://www.inc.com/profile/rapdev?listid=495,RapDev,ServiceNow and Datadog specialist company deploying platforms for Fortune 500 organizations to optimize workflows.Profile,645%,IT Services,MA,Boston,,
https://www.inc.com/profile/foxen?listid=495,Foxen,Company helping real estate owners and operators to be more profitable by offering renters insurance compliance and other renter-focused services.Profile,645%,Business Products & Services,OH,Columbus,,
https://www.inc.com/profile/102540?listid=495,Fivetran,"Automating the most time-consuming parts of the extract, load and transform process so data engineers can focus on higher-impact projects.Profile",645%,Software,CA,Oakland,,
https://www.inc.com/profile/tree-of-life-counseling-center?listid=495,Tree of Life Counseling Center,"Multifaceted wellness company providing quality mental health counseling and therapy services like yoga and meditation for children, adolescents, adults and couples.Profile",644%,Health Services,NJ,Freehold,,
https://www.inc.com/profile/bektek?listid=495,Bektek Enterprises,"Cloud-based business product provider that unifies HR, payroll, scheduling, applicant tracking, electronic onboarding and attendance into a single solution.Profile",644%,Business Products & Services,NJ,Hackensack,,
https://www.inc.com/profile/sunbyrnes-properties--construction?listid=495,SunByrnes Properties & Construction,"Commercial and residential properties and construction firm focusing on investing, developing and managing real estate.Profile",643%,Real Estate,MI,Rochester Hills,,
https://www.inc.com/profile/dealer-alchemist?listid=495,Dealer Alchemist,A digital advertising agency specializing in the automotive industry delivering industry-leading performance for dealers while reducing their overall cost.Profile,643%,Advertising & Marketing,CO,Lone Tree,,
https://www.inc.com/profile/hirebotics?listid=495,Hirebotics,Welding cobot company specializing in new automation solutions to address the labor shortage by working with welders and fabricators.Profile,642%,Manufacturing,TN,Nashville,,
https://www.inc.com/profile/tax-relief-advocates?listid=495,Tax Relief Advocates,Assists clients in resolving tax issues with the Internal Revenue Service (IRS).Profile,642%,Financial Services,CA,Irvine,,
https://www.inc.com/profile/patriot-bolt?listid=495,Patriot Bolt,"Specialists in custom machined fasteners produced to customer specification, offering limitless possibilities in design, thread pitch, size and configuration.Profile",641%,Manufacturing,TX,Humble,,
https://www.inc.com/profile/jjla?listid=495,JJLA,"A premier live event and entertainment agency creating ground-up experiences that grow audiences, energize fans and connect communities.Profile",640%,Consumer Services,CA,Los Angeles,,
https://www.inc.com/profile/konscious-house-of-brands?listid=495,Konscious House of Brands,Health and wellness company empowering individuals in reaching their full potential through top-quality products and innovative technology.Profile,640%,Health Products,PR,San Juan,,
https://www.inc.com/profile/urcomped?listid=495,URComped,Provides a platform connecting traveling casino players with complimentary offers at the top cruise lines and casino resorts.Profile,639%,Travel & Hospitality,TX,Dallas,,
https://www.inc.com/profile/Otter-PR?listid=495,Otter PR,"A fast-growing, innovative and creative public relations company building thought leaders and businesses.Profile",638%,Advertising & Marketing,FL,St. Petersburg,,
https://www.inc.com/profile/chartis-interactive?listid=495,Chartis Interactive,"Marketing and technology consultants helping brands create and optimize digital solutions that drive customer acquisition, engagement and retention through data.Profile",638%,Advertising & Marketing,NJ,WARREN,,
https://www.inc.com/profile/parentsquare?listid=495,ParentSquare,"Leading provider of modern family and community engagement solutions for K-12 schools, offering the multipurpose, unified platform used by millions.Profile",637%,Education,CA,Goleta,,
https://www.inc.com/profile/vest-financial?listid=495,Vest Financial,"Financial investment company helping investors protect their portfolios from losses, generate income and manage risk using target strategies.Profile",636%,Financial Services,VA,McLean,,
https://www.inc.com/profile/freiling-agency?listid=495,Freiling Agency,Marketing and publishing agency partnering with authors and organizations and offering hybrid publishing solutions that increase reach and influence.Profile,634%,Media,VA,Warrenton,,
https://www.inc.com/profile/dynepic?listid=495,Dynepic,Offering a secure digital infrastructure that powers an open ecosystem for app innovation.Profile,634%,Software,NV,Reno,,
https://www.inc.com/profile/thinktech-it?listid=495,ThinkTech IT,"Technology consulting firm bringing together innovative mindsets, industry expertise and customer service-centric leadership for technology implementation and business management.Profile",634%,IT Services,NY,New York,,
https://www.inc.com/profile/pioneer-aero-supply?listid=495,Pioneer Aero Supply,"Company serving as a wholesaler for a wide range of aircraft parts, located in Chicago, Illinois.Profile",633%,Logistics & Transportation,IL,Chicago,,
https://www.inc.com/profile/steve-levine-entertainment-public-relations?listid=495,Steve LeVine Entertainment & Public Relations,"A full service entertainment, events and public relations agency specializing in event planning, coordination and production.Profile",633%,Advertising & Marketing,AZ,Scottsdale,,
